191__a,71020a,65117a,71127a,65007a,245__,246__,246__(2),246__(3),079__,269__,coverage,500__,020__a,022__a,en_id,fr_id,es_id,ru_id,dl
E/OB/16/Add.,UN. Permanent Central Opium Board,,,NARCOTIC DRUGS,"$a Addendum to the report to the Economic and Social Council on the work of the Board in 1960 :$b issued in compliance with the terms ofthe Convention of 19 February 1925 on narcotic drugs and the Convention of 13 July 1931 for limiting the manufacture and regulating the distribution of narcotic drugs, as amended by the Protocol of 11 December 1946",,"$a Suplemento al informe al Consejo Económico y Social sobre las actividades del Comité en 1960 :$b preparado en cumplimiento de las disposiciones de la Convención de 19 de febrero de 1925 sobre estupefacientes y de la Convención de 13 de julio de 1931 para limitar la fabricación y reglamentar la distribución de estupefacientes, modificadas por el Protocolo de 11 de diciembre de 1946",,60.XI.3,1960-01-01 0:00:00,1960-01-01 0:00:00,,,,418737,,419713,,n
E/OB/17/Add.,UN. Permanent Central Opium Board,,,NARCOTIC DRUGS,"$a Addendum to the report to the Economic and Social Council on the work of the Board in 1961 :$b issued in compliance with the terms ofthe Convention of 19 February 1925 on narcotic drugs and the Convention of 13 July 1931 for limiting the manufacture and regulating the distribution of narcotic drugs, as amended by the Protocol of 11 December 1946",,"$a Suplemento al informe al Consejo Económico y Social sobre las actividades del Comité en 1961 :$b preparado en cumplimiento de las disposiciones de la Convención de 19 de febrero de 1925 sobre estupefacientes y de la Convención de 13 de julio de 1931 para limitar la fabricación y reglamentar la distribución de estupefacientes, modificadas por el Protocolo de 11 de diciembre de 1946",,62.XI.3,1962-01-01 0:00:00,1961-01-01 0:00:00,,,,421247,,421514,,n
E/OB/18/Add.,UN. Permanent Central Opium Board,,,NARCOTIC DRUGS,"$a Addendum to the report to the Economic and Social Council on the work of the Board in 1962 :$b issued in compliance with the terms ofthe Convention of 19 February 1925 on narcotic drugs and the Convention of 13 July 1931 for limiting the manufacture and regulating the distribution of narcotic drugs, as amended by the Protocol of 11 December 1946",,"$a Suplemento al informe al Consejo Económico y Social sobre las actividades del Comité en 1962 :$b preparado en cumplimiento de las disposiciones de la Convención de 19 de febrero de 1925 sobre estupefacientes y de la Convención de 13 de julio de 1931 para limitar la fabricación y reglamentar la distribución de estupefacientes, modificadas por el Protocolo de 11 de diciembre de 1946",,63.XI.3,1963-01-01 0:00:00,1963-01-01 0:00:00,,,,420825,,420496,,n
E/OB/19/Add.,UN. Permanent Central Opium Board,,,NARCOTIC DRUGS,"$a Addendum to the report to the Economic and Social Council on the work of the Board in 1963 :$b issued in compliance with the terms ofthe Convention of 19 February 1925 on narcotic drugs and the Convention of 13 July 1931 for limiting the manufacture and regulating the distribution of narcotic drugs, as amended by the Protocol of 11 December 1946",,"$a Suplemento al Informe al Consejo Económico y Social sobre las actividades del Comité en 1963 :$b preparado en cumplimiento de las disposiciones de la Convención de 19 de febrero de 1925 sobre estupefacientes y de la Convención de 13 de julio de 1931 para limitar la fabricación y reglamentar la distribución de estupefacientes, modificadas por el Protocolo de 11 de diciembre de 1946",,63.XI.11,1964-01-01 0:00:00,1963-01-01 0:00:00,,,,419778,,419141,,n
E/OB/20/Add.,UN. Permanent Central Opium Board,,,NARCOTIC DRUGS,"$a Addendum to the report to the Economic and Social Council on the work of the board in 1964 :$b issued in compliance with the terms of the Convention of 19 February 1925 on narcotic drugs, the Convention of 13 July 1931 for limiting the manufacture and regulating the distribution of narcotic drugs, as amended by the Protocol of 11 December 1946, and the Protocol of 23 June 1953 for limiting and regul",,"$a Suplemento al informe al Consejo Económico y Social sobre las actividades del Comité en 1964 :$b preparado en cumplimiento de las disposiciones de la Convención de 19 de febrero de 1925 sobre estupefacientes, de la Convención de 13 de julio de 1931 para limitar la fabricación y reglamentar la distribución de estupefacientes, modificadas por el Protocolo de 11 de diciembre de 1946, y el Protocolo de",,65.XI.5,1965-01-01 0:00:00,1964-01-01 0:00:00,,,,420560,,419377,,n
E/NL.1949/58-59,United Kingdom,ADEN PROTECTORATE,,NARCOTIC DRUGS,"$a Aden :$b Laws and regulations communicated in compliance with the terms of the Convention for Limiting the Manufacture and Regulating the Distribution of Narcotic Drugs of 13 July 1931, as amended by the Protocol of 11 December 1946","$a Aden :$b Lois et règlements communiqués conformément aux dispositions de la Convention du 13 juillet 1931 pour limiter la fabrication et réglementer la distribution des stupéfiants, amendée par le Protocole du 11 décembre 1946",,,,1949-01-01 0:00:00,1948-01-01 00:00:00||1947-01-01 00:00:00,,,,419857,420009,,,n
E/NL.1956/93,United Kingdom,ADEN PROTECTORATE,,NARCOTIC DRUGS,"$a Aden, communicated by the Government of the United Kingdom of Great Britain and Northern Ireland :$b Laws and regulations promulgated to give effect to the provisions of the Convention of 13 Jul 1931 for Limiting the Manufacture and Regulating the Distribution of Narcotic Drugs, as amended by the Protocol of 11 Dec. 1946","$a Aden, communiqués par le gouvernement du Royaume-Uni de Grande-Bretagne et d'Irlande du Nord :$b Lois et règlements promulgués pour donner effet aux dispositions de la Convention du 13 juillet 1931 pour limiter la fabrication et réglementer la distribution des stupéfiants, amendée par le Protocole du 11 décembre 1946",,,,1956-01-01 0:00:00,1955-01-01 0:00:00,,,,420753,419797,,,n
E/NL.1961/26,United Kingdom,ADEN PROTECTORATE,,NARCOTIC DRUGS,"$a Aden, communicated by the Government of the United Kingdom of Great Britain and Northern Ireland :$b Laws and regulations promulgated to give effect to the provisions of the Convention of 13 Jul 1931 for Limiting the Manufacture and Regulating the Distribution of Narcotic Drugs, as amended by the Protocol of 11 Dec. 1946",,,,,1961-01-01 0:00:00,1960-01-01 0:00:00,,,,419536,,,,n
E/OB/6/Adenda,,,,NARCOTIC DRUGS,"$a Adenda al informe al Consejo Económico y Social sobre las estadísticas relativas a estupefacientes para 1949 y las labores del Comité en 1950 :$b presentado en cumplimiento de lo dispuesto en el Convenio del opio, firmado en Ginebra el 19 de febrero de 1925, y en el Convenio para limitar la fabricación y reglamentar la distribución de estupefacientes, firmado en Ginebra el 13 de julio de 1931, enmen",,,,,1950-01-01 0:00:00,1949-01-01 00:00:00||1950-01-01 00:00:00,,,,,,418490,,n
E/NL.1958/13,Afghanistan,AFGHANISTAN,,NARCOTIC DRUGS,"$a Afghanistan :$b Laws and regulations promulgated to give effect to the provisions of the Convention of 13 Jul 1931 for Limiting the Manufacture and Regulating the Distribution of Narcotic Drugs, as amended by the Protocol of 11 Dec. 1946","$a Afghanistan :$b Lois et règlements promulgués pour donner effet aux dispositions de la Convention du 13 juillet 1931 pour limiter la fabrication et réglementer la distribution des stupéfiants, amendée par le Protocole du 11 décembre 1946",,,,1958-01-01 0:00:00,1957-01-01 0:00:00,,,,421202,419496,,,n
E/NL.1956/27,Afghanistan,AFGHANISTAN,,NARCOTIC DRUGS,"$a Afghanistan :$b Laws and regulations promulgated to give effect to the provisions of the Convention of 13 Jul 1931 for Limiting the Manufacture and Regulating the Distribution of Narcotic Drugs, as amended by the Protocol of 11 Dec. 1946","$a Afghanistan :$b Lois et règlements promulgués pour donner effet aux dispositions de la Convention du 13 juillet 1931 pour limiter la fabrication et réglementer la distribution des stupéfiants, amendée par le Protocole du 11 décembre 1946",,,,1956-01-01 0:00:00,1956-01-01 0:00:00,,,,420633,418301,,,n
E/NL.1992/16,Afghanistan,AFGHANISTAN,,NARCOTIC DRUGS||PSYCHOTROPIC SUBSTANCES,$a Afghanistan :$b Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances,,,,,1992-01-01 0:00:00,1991-01-01 0:00:00,,,,421201,,,,y
E/NL.1990/10,Afghanistan,AFGHANISTAN,,NARCOTIC DRUGS||PSYCHOTROPIC SUBSTANCES,$a Afghanistan :$b Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances,,,,,1990-01-01 0:00:00,1990-01-01 0:00:00,,,,421142,,,,y
E/NL.1957/35,Albania,ALBANIA,,NARCOTIC DRUGS,"$a Albania :$b Laws and regulations promulgated to give effect to the provisions of the Convention of 13 Jul 1931 for Limiting the Manufacture and Regulating the Distribution of Narcotic Drugs, as amended by the Protocol of 11 Dec. 1946","$a Albanie :$b Lois et règlements promulgués pour donner effet aux dispositions de la Convention du 13 juillet 1931 pour limiter la fabrication et réglementer la distribution des stupéfiants, amendée par le Protocole du 11 décembre 1946",,,,1957-01-01 0:00:00,1956-01-01 0:00:00,,,,419748,419471,,,n
E/NL.1972/25,Algeria,ALGERIA,,NARCOTIC DRUGS,$a Algérie :$b Lois et règlements promulgués pour donner effet aux dispositions des traités internationaux sur les stupéfiants,,,,,1972-01-01 0:00:00,1971-01-01 0:00:00,,,,,420064,,,n
E/NL.1985/53,Algeria,ALGERIA,,NARCOTIC DRUGS||PSYCHOTROPIC SUBSTANCES,$a Algérie :$b Lois et règlements promulgués pour donner effet aux dispositions des traités internationaux sur les stupéfiants et les substances psychotropes,,,,,1985-01-01 0:00:00,1984-01-01 0:00:00,,,,,421693,,,y
E/NL.1980/84,Algeria,ALGERIA,,NARCOTIC DRUGS||PSYCHOTROPIC SUBSTANCES,$a Algérie :$b Lois et règlements promulgués pour donner effet aux dispositions des traités internationaux sur les stupéfiants et les substances psychotropes,,,,,1980-01-01 0:00:00,1980-01-01 0:00:00,,,,,419586,,,y
E/NL.1992/11,Algeria,ALGERIA,,NARCOTIC DRUGS||PSYCHOTROPIC SUBSTANCES,$a Algérie :$b Lois et règlements promulgués pour donner effet aux dispositions des traités internationaux sur les stupéfiants et les substances psychotropes,,,,,1992-01-01 0:00:00,1992-01-01 0:00:00,,,,,421074,,,n
E/NL.1976/1,Algeria,ALGERIA,,NARCOTIC DRUGS||PSYCHOTROPIC SUBSTANCES,$a Algérie :$b Lois et règlements promulgués pour donner effet aux dispositions des traités internationaux sur les stupéfiants et les substances psychotropes,,,,,1976-01-01 0:00:00,1975-01-01 0:00:00,,,,,421508,,,n
E/NL.1963/56,Portugal,ANGOLA,,NARCOTIC DRUGS,"$a Angola, communicated by the Government of Portugal :$b Laws and regulations promulgated to give effect to the provisions of the Convention of 13 Jul 1931 for Limiting the Manufacture and Regulating the Distribution of Narcotic Drugs, as amended by the Protocol of 11 Dec. 1946",,,,,1963-01-01 0:00:00,1961-01-01 0:00:00,,,,422303,,,,n
E/NL.1961/4-5,Portugal,ANGOLA,,NARCOTIC DRUGS,"$a Angola, communicated by the Government of Portugal :$b Laws and regulations promulgated to give effect to the provisions of the Convention of 13 Jul 1931 for Limiting the Manufacture and Regulating the Distribution of Narcotic Drugs, as amended by the Protocol of 11 Dec. 1946",,,,,1961-01-01 0:00:00,1959-01-01 0:00:00,,,,420403,,,,n
E/NL.1957/31,Portugal,ANGOLA,,NARCOTIC DRUGS,"$a Angola, communicated by the Government of Portugal :$b Laws and regulations promulgated to give effect to the provisions of the Convention of 13 Jul 1931 for Limiting the Manufacture and Regulating the Distribution of Narcotic Drugs, as amended by the Protocol of 11 Dec. 1946","$a Angola, communiqués par le gouvernement du Portugal :$b Lois et règlements promulgués pour donner effet aux dispositions de la Convention du 13 juillet 1931 pour limiter la fabrication et réglementer la distribution des stupéfiants, amendée par le Protocole du 11 décembre 1946",,,,1957-01-01 0:00:00,1956-01-01 0:00:00,,,,418753,418066,,,n
E/NL.1959/82-83,Portugal,ANGOLA,,NARCOTIC DRUGS,"$a Angola, communicated by the Government of Portugal :$b Laws and regulations promulgated to give effect to the provisions of the Convention of 13 Jul 1931 for Limiting the Manufacture and Regulating the Distribution of Narcotic Drugs, as amended by the Protocol of 11 Dec. 1946",,,,,1959-01-01 0:00:00,1958-01-01 0:00:00,,,,418680,,,,n
E/NL.1966/19,Portugal,ANGOLA,,NARCOTIC DRUGS,"$a Angola, communicated by the Government of Portugal :$b Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs",,,,,1966-01-01 0:00:00,1964-01-01 0:00:00,,,,420357,,,,n
E/NL.1997/55,United Kingdom,ANGUILLA,,NARCOTIC DRUGS||PSYCHOTROPIC SUBSTANCES,"$a Anguilla, communicated by the Government of the United Kingdom :$b Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances",,,,,1997-01-01 0:00:00,1994-01-01 0:00:00,,,,420939,,,,y
C.257.M.151.1936.XI||O.C.294/Index 1935,,,,,"$a Annexe aux documents O.C.294(W), O.C.294(X),O.C.294(X)  et O.C.294(z) :$b index alphabétique",,,,,1936-01-01 0:00:00,1935-01-01 0:00:00,,,,,420164,,,n
E/NL.1977/63,United Kingdom,ANTIGUA AND BARBUDA,,NARCOTIC DRUGS||PSYCHOTROPIC SUBSTANCES,"$a Antigua, communicated by the Government of the United Kingdom of Great Britain and Northern Ireland :$b Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances",,,,,1977-01-01 0:00:00,1975-01-01 0:00:00,,,,419681,,,,y
E/NL.1977/15,United Kingdom,ANTIGUA AND BARBUDA,,NARCOTIC DRUGS||PSYCHOTROPIC SUBSTANCES,"$a Antigua, communicated by the Government of the United Kingdom of Great Britain and Northern Ireland :$b Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances",,,,,1977-01-01 0:00:00,1973-01-01 0:00:00,,,,418423,,,,y
A/AC.105/592/Add.2,,,,OUTER SPACE,"$a Application des recommandations de la deuxième Conference des Nations Unies sur l'exploration et les utilisations pacifiques de l'espace extra-atmospherique :$b coopération internationale dans le domaine des utilisations pacifiques de l'espace, activités des états membres, note du secrétariat",,"$a Aplicación de las recomendaciones de la Segunda Conferencia de las Naciones Unidas sobre la Explotación y Utilización del Espacio Ultraterrestre con fines pacíficos :$b cooperación internacional para la utilización del espacio ultraterrestre con fines pacíficos, actividades de los estados miembros. Nota de la secretaría. Adición",,,1995-01-01 0:00:00,1995-01-01 0:00:00,,,,,421558,420952,,y
A/AC.105/592,,,,OUTER SPACE,"$a Application des recommandations de la deuxième Conference des Nations Unies sur l'exploration et les utilisations pacifiques de l'espace extra-atmospherique :$b coopération internationale dans le domaine des utilisations pacifiques de l'espace, activités des états membres, note du secrétariat",,"$a Aplicación de las recomendaciones de la Segunda Conferencia de las Naciones Unidas sobre la Explotación y Utilización del Espacio Ultraterrestre con fines pacíficos :$b cooperación internacional para la utilización del espacio ultraterrestre con fines pacíficos, actividades de los estados miembros. Nota de la secretaría",,,1994-01-01 0:00:00,1994-01-01 0:00:00,,,,,420087,418809,,y
A/AC.105/592/Add.3,,,,OUTER SPACE,"$a Application des recommandations de la deuxième Conference des Nations Unies sur l'exploration et les utilisations pacifiques de l'espace extra-atmospherique :$b coopération internationale dans le domaine des utilisations pacifiques de l'espace, activités des états membres, note du secrétariat, additif",,"$a Aplicación de las recomendaciones de la Segunda Conferencia de las Naciones Unidas sobre la Explotación y Utilización del Espacio Ultraterrestre con fines pacíficos :$b cooperación internacional para la utilización del espacio ultraterrestre con fines pacíficos, actividades de los estados miembros. Nota de la secretaría. Adición",,,1995-01-01 0:00:00,1995-01-01 0:00:00,,,,,419484,421957,,y
E/NL.1974/18,Egypt,EGYPT,,NARCOTIC DRUGS,$a Arab Republic of Egypt :$b Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs,,,,,1974-01-01 0:00:00,1974-01-01 0:00:00,,,,418506,,,,n
E/NL.1977/39,Egypt,EGYPT,,NARCOTIC DRUGS||PSYCHOTROPIC SUBSTANCES,$a Arab Republic of Egypt :$b Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances,,,,,1977-01-01 0:00:00,1977-01-01 0:00:00,,,,421028,,,,y
E/NL.1976/40-42,Egypt,EGYPT,,NARCOTIC DRUGS||PSYCHOTROPIC SUBSTANCES,$a Arab Republic of Egypt :$b Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances,,,,,1976-01-01 0:00:00,1976-01-01 00:00:00||1973-01-01 00:00:00,,,,422186,,,,n
E/NL.1953/8-28,Argentina,ARGENTINA,,NARCOTIC DRUGS,"$a Argentina :$b Laws and regulations promulgated to give effect to the provisions of the Convention of 13 Jul 1931 for Limiting the Manufacture and Regulating the Distribution of Narcotic Drugs, as amended by the Protocol of 11 Dec. 1946","$a Argentine :$b Lois et règlements promulgués pour donner effet aux dispositions de la Convention du 13 juillet 1931 pour limiter la fabrication et réglementer la distribution des stupéfiants, amendée par le Protocole du 11 décembre 1946",,,,1953-01-01 0:00:00,1949-01-01 0:00:00,,,,421722,422066,,,n
E/NL.1950/33,Argentina,ARGENTINA,,NARCOTIC DRUGS,"$a Argentina :$b Laws and regulations promulgated to give effect to the provisions of the Convention of 13 Jul 1931 for Limiting the Manufacture and Regulating the Distribution of Narcotic Drugs, as amended by the Protocol of 11 Dec. 1946","$a Argentine :$b Lois et règlements promulgués pour donner effet aux dispositions de la Convention du 13 juillet 1931 pour limiter la fabrication et réglementer la distribution des stupéfiants, amendée par le Protocole du 11 décembre 1946",,,,1950-01-01 0:00:00,1950-01-01 0:00:00,,,,422245,419968,,,n
E/NL.1956/26,Argentina,ARGENTINA,,NARCOTIC DRUGS,"$a Argentina :$b Laws and regulations promulgated to give effect to the provisions of the Convention of 13 Jul 1931 for Limiting the Manufacture and Regulating the Distribution of Narcotic Drugs, as amended by the Protocol of 11 Dec. 1946","$a Argentine :$b Lois et règlements promulgués pour donner effet aux dispositions de la Convention du 13 juillet 1931 pour limiter la fabrication et réglementer la distribution des stupéfiants, amendée par le Protocole du 11 décembre 1946",,,,1956-01-01 0:00:00,1955-01-01 0:00:00,,,,418473,422201,,,n
E/NL.1950/116-118,Argentina,ARGENTINA,,NARCOTIC DRUGS,"$a Argentina :$b Laws and regulations promulgated to give effect to the provisions of the Convention of 13 Jul 1931 for Limiting the Manufacture and Regulating the Distribution of Narcotic Drugs, as amended by the Protocol of 11 Dec. 1946","$a Argentine :$b Lois et règlements promulgués pour donner effet aux dispositions de la Convention du 13 juillet 1931 pour limiter la fabrication et réglementer la distribution des stupéfiants, amendée par le Protocole du 11 décembre 1946",,,,1950-01-01 0:00:00,1950-01-01 0:00:00,,,,419666,421660,,,n
E/NL.1952/104,Argentina,ARGENTINA,,NARCOTIC DRUGS,"$a Argentina :$b Laws and regulations promulgated to give effect to the provisions of the Convention of 13 Jul 1931 for Limiting the Manufacture and Regulating the Distribution of Narcotic Drugs, as amended by the Protocol of 11 Dec. 1946","$a Argentine :$b Lois et règlements promulgués pour donner effet aux dispositions de la Convention du 13 juillet 1931 pour limiter la fabrication et réglementer la distribution des stupéfiants, amendée par le Protocole du 11 décembre 1946",,,,1952-01-01 0:00:00,1951-01-01 0:00:00,,,,421041,418236,,,n
E/NL.1956/103,Argentina,ARGENTINA,,NARCOTIC DRUGS,"$a Argentina :$b Laws and regulations promulgated to give effect to the provisions of the Convention of 13 Jul 1931 for Limiting the Manufacture and Regulating the Distribution of Narcotic Drugs, as amended by the Protocol of 11 Dec. 1946","$a Argentine :$b Lois et règlements promulgués pour donner effet aux dispositions de la Convention du 13 juillet 1931 pour limiter la fabrication et réglementer la distribution des stupéfiants, amendée par le Protocole du 11 décembre 1946",,,,1956-01-01 0:00:00,1956-01-01 0:00:00,,,,418194,421020,,,n
E/NL.1951/56,Argentina,ARGENTINA,,NARCOTIC DRUGS,"$a Argentina :$b Laws and regulations promulgated to give effect to the provisions of the Convention of 13 Jul 1931 for Limiting the Manufacture and Regulating the Distribution of Narcotic Drugs, as amended by the Protocol of 11 Dec. 1946","$a Argentine :$b Lois et règlements promulgués pour donner effet aux dispositions de la Convention du 13 juillet 1931 pour limiter la fabrication et réglementer la distribution des stupéfiants, amendée par le Protocole du 11 décembre 1946",,,,1951-01-01 0:00:00,1949-01-01 0:00:00,,,,419864,419923,,,n
E/NL.1954/43-49,Argentina,ARGENTINA,,NARCOTIC DRUGS,"$a Argentina :$b Laws and regulations promulgated to give effect to the provisions of the Convention of 13 Jul 1931 for Limiting the Manufacture and Regulating the Distribution of Narcotic Drugs, as amended by the Protocol of 11 Dec. 1946","$a Argentine :$b Lois et règlements promulgués pour donner effet aux dispositions de la Convention du 13 juillet 1931 pour limiter la fabrication et réglementer la distribution des stupéfiants, amendée par le Protocole du 11 décembre 1946",,,,1954-01-01 0:00:00,1952-01-01 0:00:00,,,,419886,420414,,,n
