symbol,79,269,coverage,500,en_245,fr_245,es_245,ru_245,en_id,fr_id,es_id,ru_id,en_020,fr_020,es_020,ru_020,en_022,es_022,fr_022,ru_022,en_710,es_710,fr_710,ru_710,dl
E/NL.1997/1,,1997-01-01 00:00:00,1996-01-01 00:00:00,,Paraguay : Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances,,Paraguay : Leyes y reglamentos promulgados para dar efecto a las disposiciones de tratados internacionales sobre los estupefacientes y sustancias sicotrópicas,,419885,,422337,,,,,,,,,,,,,,y
E/INCB/47,F.80.XI.2,1979-01-01 00:00:00,1979-01-01 00:00:00,,Report of the International Narcotics Control Board for 1979,Rapport de l'Organe international de contrôle des stupéfiants pour 1979,Informe de la Junta Internacional de Fiscalización de Estupefacientes correspondiente a 1979,,420851,422333,419632,,,,,,,,,,International Narcotics Control Board,,,,y
A/50/20,,1995-01-01 00:00:00,1995-01-01 00:00:00,,"Report of the Committee on the Peaceful Uses of Outer Space : General Assembly, official records, fiftieth session, supplement no. 20, A/50/20","Rapport du Comité des utilisations pacifiques de l’espace extra-atmosphérique : Assemblée générale, documents officiels,  cinquantième session, supplément no 20, A/50/20","Informe de la Comisión sobre la utilización del espacio ultraterrestre con fines pacíficos : Asamblea General, documentos oficiales, quincuagésimo período de sesiones, suplemento no. 20, A/50/20",,419264,420038,422332,,,,,,,,,,Committee on the Peaceful Uses of Outer Space,,,,y
E/2730/Add.1,,1955-01-01 00:00:00,1955-01-01 00:00:00,,"Official records, resumed nineteenth session, 16-27 May 1955 : resolutions, supplement no. 1a","Documents officiels, reprise de la dix-neuvième session, 16-27 mai 1955 : resolutions, supplement n« 1a","Documentos oficiales, 19.º periodo de sesiones (continuacion), 16-27 de Mayo de 1955 : resoluciones, suplemento no. 1a",,421767,422331,420086,,,,,,,,,,United Nations. Economic and Social Council,,,,y
E/NL.1998/31,,1998-01-01 00:00:00,1967-01-01 00:00:00,,Spain : Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances,,España : Leyes y reglamentos promulgados para dar efecto a las disposiciones de tratados internacionales sobre los estupefacientes y sustancias sicotrópicas,,420216,,422328,,,,,,,,,,,,,,y
E/NL.1991/62,,1991-01-01 00:00:00,1990-01-01 00:00:00,,China : Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances,,,,422325,,,,,,,,,,,,,,,,y
E/NL.1988/3-4,,1988-01-01 00:00:00,1988-01-01 00:00:00,,Spain : Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances,,España : Leyes y reglamentos promulgados para dar efecto a las disposiciones de tratados internacionales sobre los estupefacientes y sustancias sicotrópicas,,418817,,422324,,,,,,,,,,,,,,y
E/1997/97,,1999-01-01 00:00:00,1997-01-01 00:00:00,,"Resolutions and decisions of the Economic and Social Council, organizational session for 1997, New York, 23 January and 4-7 February 1997, resumed organizational session for 1997, New York, 1 and 2 May 1997, substantive session of 1997,  Geneva, 30 June-25 July 1997,  resumed substantive session of 1997, New York, 8 October and 16 and 18 December 1997 :  Economic and Social Council, official recor","Résolutions et décisions du Conseil économique et social, session d'organisation pour 1997, New York, 23 janvier et 4-7 février 1997,  reprise de la session d'organisation pour 1997,  New York, 1er et 2 mai 1997,  session de fond de 1997,  Genève, 30 juin-25 juillet 1997,  reprise de la session de fond de 1997,  New York, 8 octobre et 16 et 18 décembre 1997  :  Conseil économique et social documen","Resoluciones y decisiones del Consejo Económico y Social,  período de sesiones de organización para 1997,  Nueva York, 23 de enero y 4 a 7 de febrero de 1997,  continuación del período de sesiones de organización para 1997, Nueva York, 1° y 2 de Mayo de 1997,  período de sesiones sustantivo de 1997  Ginebra, 30 de junio a 25 de julio de 1997,  continuación del período de sesiones sustantivo de 199",,422319,419546,422014,,,,,,,,,,United Nations. Economic and Social Council,,,,y
E/NL.1992/26-28,,1992-01-01 00:00:00,1991-01-01 00:00:00,,Peru : Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances,,Perú : Leyes y reglamentos promulgados para dar efecto a las disposiciones de tratados internacionales sobre los estupefacientes y sustancias sicotrópicas,,422318,,421602,,,,,,,,,,,,,,y
E/CN.7/1983/18||E/1983/15,,1983-01-01 00:00:00,1983-01-01 00:00:00,,,"Commission des stupéfiants, rapport sur la trentième session, 7-16 février 1983 : Conseil économique et social, documents officiels, 1983, supplément n° 5","Comisión de Estupefacientes, informe sobre el 30° periodo de sesiones, 7 a 16 de febrero de 1983 : Consejo Económico y Social, documentos oficiales, 1983, suplemento no. 5",,,418429,422315,,,,,,,,,,,,,,y
E/NL.1998/15-17,,1998-01-01 00:00:00,1994-01-01 00:00:00,,"Hong Kong, communicated by the Hong Kong Special Administrative Region of China : Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances",,,,422311,,,,,,,,,,,,,,,,y
E/NL.1985/9-22,,1985-01-01 00:00:00,1964-01-01 00:00:00||1967-01-01 00:00:00||1960-01-01 00:00:00,,"Netherlands Antilles, communicated by the Government of the Netherlands : Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances",,,,422310,,,,,,,,,,,,,,,,y
E/NL.1984/38,,1984-01-01 00:00:00,1984-01-01 00:00:00,,United States of America : Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances,,,,422308,,,,,,,,,,,,,,,,y
E/NL.1980/73-75,,1980-01-01 00:00:00,1972-01-01 00:00:00||1979-01-01 00:00:00,,Sweden : Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances,,,,422306,,,,,,,,,,,,,,,,y
E/INCB/1985/2/Supp.10,,1986-01-01 00:00:00,1986-01-01 00:00:00,,Estimated world requirements of narcotic drugs in 1986 : supplement no. 10,,,,422305,,,,,,,,ISSN 0082-8327,,,,International Narcotics Control Board,,,,y
E/NL.1996/23,,1996-01-01 00:00:00,1991-01-01 00:00:00,,El Salvador : Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances,,El Salvador : Leyes y reglamentos promulgados para dar efecto a las disposiciones de tratados internacionales sobre los estupefacientes y sustancias sicotrópicas,,422299,,419270,,,,,,,,,,,,,,y
E/NL.1981/46,,1981-01-01 00:00:00,1981-01-01 00:00:00,,Norway : Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances,,,,422298,,,,,,,,,,,,,,,,y
E/NL.1994/42-43,,1994-01-01 00:00:00,1989-01-01 00:00:00,,Bolivia : Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances,,Bolivia : Leyes y reglamentos promulgados para dar efecto a las disposiciones de tratados internacionales sobre los estupefacientes y sustancias sicotrópicas,,419326,,422295,,,,,,,,,,,,,,y
E/INCB/1989/1/Supp.,E.89.XI.5,1989-01-01 00:00:00,1989-01-01 00:00:00,,"Report of the International Narcotics Control Board for 1989 : demand for and supply of opiates for medical and scientific needs, special report prepared pursuant to Economic and Social Council resolution 1989/15","Rapport de l' Organe international de contrôle des stupéfiants pour 1989 : demande et offre des opiacés pour les besoins médicaux et scientifiques, rapport spécial établi conformément à la résolution 1989/15 du Conseil économique et social",,,422291,420439,,,,,,,,,,,International Narcotics Control Board,,,,y
E/1996/96,,1997-01-01 00:00:00,1996-01-01 00:00:00,,"Resolutions and decisions of the Economic and Social Council, organizational session for 1996, New York, 25 January and 6-9 February 1996,  resumed organizational session for 1996, New York, 2 April and 2-3 May 1996, substantive session of 1996, New York, 24 June-26 July 1996, resumed substantive session of 1996, New York, 10 October and 13-14 and 20 November 1996 :  Economic and Social Council, o","Resolutions et decisions du Conseil économique et social, session d'organisation pour 1996, New York, 25 janvier et 6-9 février 1996,  reprise de la session d'organisation pour 1996,  New York, 2 avril et 2-3 mai 1996, session de fond de 1996, New York, 24 juin-26 juillet 1996, reprise de la session de fond de 1996, New York, 10 octobre et 13, 14 et 20 novembre 1996 :  Conseil économique et social","Resoluciones y decisiones del Consejo Económico y Social, período de sesiones de organización para 1996, Nueva York, 25 de enero y 6 a 9 de febrero de 1996, continuación del período de sesiones de organización para 1996, Nueva York, 2 de abril, 2 y 3 de Mayo de 1996, período de sesiones sustantivo de 1996, Nueva York, 24 de junio a 26 de julio de 1996, continuación del período de sesiones sustanti",,417938,422286,420863,,,,,,,,,,United Nations. Economic and Social Council,,,,y
E/1993/93,,1994-01-01 00:00:00,1993-01-01 00:00:00,,"Resolutions and decisions of the Economic and Social Council, organizational session for 1993, New York, 26 January and 2-5,12 and 16 February 1993, resumed organizational session for 1993, New York, 6, 29 and 30 April and 26 May 1993, substantive session of 1993, Geneva, 28 June-30 July 1993, resumed substantive session of 1993 New York, 21 October and 8 December 1993 : Economic and Social Counci","Résolutions et décisions du Conseil économique et social, session d'organisation pour 1993, New York, 26 janvier et 2-5,12 et 16 février 1993, reprise de la session d'organisation pour 1993, New York, 6, 29 et 30 avril et 26 mai 1993, session de fond de 1993, Genève, 28 juin-30 juillet 1993, reprise de la session de fond de 1993, New York, 21 octobre et 8 décembre 1993 : Conseil économique et soci","Resoluciones y decisiones del Consejo Económico y Social, periodo de sesiones de organización para 1993 Nueva York, 26 de enero y 2 a 5,12 y 16 de febrero de 1993, continuación del periodo de sesiones de organización para 1993, Nueva York, 6, 29 y 30 de abril y 26 de Mayo de 1993, periodo de sesiones sustantivo de 1993 Ginebra, 29 de junio a 30 de julio de 1993, continuación del periodo de sesione",,422284,419030,419538,,,,,,,,,,United Nations. Economic and Social Council,,,,y
E/INCB/57/Supp.3,E/F/S.82.XI.2/Supp.3,1982-01-01 00:00:00,1982-01-01 00:00:00,Corrigendum,,"évaluations des besoins du monde en stupéfiants pour 1982 : supplément n° 3, corrigendum",Previsiones de las necesidades mundiales de estupefacientes para 1982 : suplemento n°. 03,,,422281,421337,,,,,,,,,,,Junta Internacional de Fiscalización de Estupefacientes,Organe international de contrôle des stupéfiants,,y
E/INCB/51,E/F/S.81.XI.1,1980-01-01 00:00:00,1981-01-01 00:00:00,,,Évaluations pour 1981 des besoins du monde en stupéfiants,,,,422277,,,,,,,,,,,,Junta Internacional de Fiscalización de Estupefacientes,,,y
E/INCB/1986/2/Supp.2,,1987-01-01 00:00:00,1987-01-01 00:00:00,,Estimated world requirements of narcotic drugs in 1987 : supplement No. 02,,,,422275,,,,,,,,,,,,International Narcotics Control Board,,,,y
E/NL.1983/37,,1983-01-01 00:00:00,1983-01-01 00:00:00,,Burma : Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances,,,,422274,,,,,,,,,,,,,,,,y
E/CN.7/283||E/2606,,1954-01-01 00:00:00,1954-01-01 00:00:00,,,,"Comisión de Estupefacientes, informe sobre el noveno período de sesiones, 19 de abril - 14 de Mayo de 1954 : Consejo Económico y Social, documentos oficiales, 18° periodo de sesiones, suplemento no. 8",,,,422272,,,,,,,,,,,,,,y
A/CONF.80/16,F.78.V.8,1978-01-01 00:00:00,1977-01-01 00:00:00,,"United Nations Conference on succession of states in respect of treaties, first session, Vienna, 4 April-6 May 1977 : official records, volume I - summary records of the plenary meetings and of the meetings of the Committee of the Whole","Conférence des Nations Unies sur la succession d'états en matière de traités, première session, Vienne, 4 avril-6 mai 1977 : documents officiels, volume I - comptes rendus analytiques des séances plénières et des séances de la Commission plénière","Conferencia de las Naciones Unidas sobre la sucesion de estados en materia de tratados, primer período de sesiones, Viena, 4 de abril a 6 de Mayo de 1977 : documentos oficiales, volumen I - actas resumidas de las sesiones plenarias y de las sesiones de la Comisión plenaria",,420491,422270,420046,,,,,,,,,,"United Nations Conference on Succession of States in Respect of Treaties (1977-1978 : Vienna, Austria)",,,,y
E/NL.1994/46,,1994-01-01 00:00:00,1993-01-01 00:00:00,,Portugal : Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances,,,,422269,,,,,,,,,,,,,,,,y
A/42/17,,1987-01-01 00:00:00,1987-01-01 00:00:00,,"Report of the United Nations Commission on international trade law on the work of its twentieth session, 20 july -14 august 1987 : General Assembly, official records, forty-second session, supplement no. 17, A/42/17","Rapport de la Commission des Nations Unies pour le droit commercial international sur les travaux de sa vingtième session, 20 juillet-14 août 1987 : Assemblée générale, documents officiels, quarante-deuxième session, supplément n° 17, A/42/17","Informe de la Comisión de las Naciones Unidas para el derecho mercantil internacional sobre la labor realizada en su 20° período de sesiones, 20 de julio a 14 de agosto de 1987 : Asamblea General, documentos oficiales, cuadragesimo segundo periodo de sesiones, suplemento no. 17, A/42/17",,418372,422268,421136,,,,,,,,,,United Nations Commission on International Trade Law,,,,y
E/INCB/1993/2/Supp.10,,1994-01-01 00:00:00,1994-01-01 00:00:00||1992-01-01 00:00:00,,"Supplement no. 10 to narcotic drugs : estimated world requirements for 1994, statistics for 1992, estimates updated as of 31 October 1994",,,,422267,,,,,,,,ISSN 1013-8250,,,,International Narcotics Control Board,,,,y
E/NL.1991/40-41,,1991-01-01 00:00:00,1989-01-01 00:00:00||1990-01-01 00:00:00,,Honduras : Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances,,Honduras : Leyes y reglamentos promulgados para dar efecto a las disposiciones de tratados internacionales sobre los estupefacientes y sustancias sicotrópicas,,422265,,420122,,,,,,,,,,,,,,y
E/NL.1992/37,,1992-01-01 00:00:00,1991-01-01 00:00:00,,Philippines : Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances,,,,422263,,,,,,,,,,,,,,,,y
E/NL.1999/60,,1999-01-01 00:00:00,1993-01-01 00:00:00,,Saint Vincent and the Grenadines : Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances,,,,422261,,,,,,,,,,,,,,,,y
E/2654,,1954-01-01 00:00:00,1954-01-01 00:00:00,,"Official records, eighteenth session, 29 June-6 August 1954 : resolutions, supplement no. 1","Documents officiels, dix-huitième session, 29 juin-6 août 1954 : résolutions, supplément n* 1","Documentos oficiales, 18.° periodo de sesiones, 29 de junio-6 de agosto de 1954 : resoluciones, suplemento n.° 1",,422260,421570,419465,,,,,,,,,,United Nations. Economic and Social Council,,,,y
E/NL.1994/13,,1994-01-01 00:00:00,1991-01-01 00:00:00,,Thailand : Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances,,,,422259,,,,,,,,,,,,,,,,y
E/NL.1989/25-26,,1989-01-01 00:00:00,1989-01-01 00:00:00,,Zambia : Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances,,,,422257,,,,,,,,,,,,,,,,y
A/40/17,,1985-01-01 00:00:00,1985-01-01 00:00:00,,"Report of the United Nations Commission on international trade law on the work of its eighteenth session, 3-21 june 1985 : General Assembly, official records, fortieth session, supplement no. 17, A/40/17","Rapport de la Commission des Nations Unies pour le droit commercial international sur les travaux de sa dix-huitième session, 3-21 juin 1985 : Assemblée générale, documents officiels, quarantième session, supplément n° 17, a/40/17","Informe de la Comisión de las Naciones Unidas para el derecho mercantil internacional sobre la labor realizada en su 18° período de sesiones, 3 a 21 de junio de 1985 : Asamblea General, documentos oficiales, cuadragesimo periodo de sesiones, suplemento no. 17, A/40/17",,419120,422198,420317,,,,,,,,,,United Nations Commission on International Trade Law,,,,y
E/NL.1993/48,,1993-01-01 00:00:00,1993-01-01 00:00:00,,Spain : Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances,,España : Leyes y reglamentos promulgados para dar efecto a las disposiciones de tratados internacionales sobre los estupefacientes y sustancias sicotrópicas,,422194,,418016,,,,,,,,,,,,,,y
E/CN.7/587||E/5771,,1976-01-01 00:00:00,1976-01-01 00:00:00,,"Commission on Narcotic Drugs, report of the fourth special session, 16-27 February 1976 : Economic and Social Council, official records, sixtieth session, supplement no. 4",,"Comisión de Estupefacientes, informe sobre el cuarto periodo extraordinario de sesioimes 16-27 de febrero de 1976 : Consejo Económico y Social, documentos oficiales, 60° periodo de sesiones, suplemento no. 4",,422189,,420804,,,,,,,,,,United Nations. Commission on Narcotic Drugs,,,,y
E/NL.1991/19,,1991-01-01 00:00:00,1990-01-01 00:00:00,,,Suisse : Lois et règlements promulgués pour donner effet aux dispositions des traités internationaux sur les stupéfiants et les substances psychotropes,,,,422188,,,,,,,,,,,,,,,y
E/NL.1994/59,,1994-01-01 00:00:00,1993-01-01 00:00:00,,United Kingdom : Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances,,,,422182,,,,,,,,,,,,,,,,y
A/35/17,,1980-01-01 00:00:00,1980-01-01 00:00:00,,"Report of the United Nations Commission on international trade law on the work of its thirteenth session, 14-25 july 1980 : General Assembly, official records, thirty-fifth session, supplement no. 17, A/35/17","Rapport de la Commission des Nations Unies pour le droit commercial international sur les travaux de sa treizième session, 14-25 juillet 1980 : Assemblée générale, documents officiels, trente-cinquième session, supplément n° 17, a/35/17","Informe de la Comisión de las Naciones Unidas para el derecho mercantil internacional sobre la labor realizada en su 13° período de sesiones, 14 a 25 de julio de 1980 : Asamblea General, documentos oficiales, trigesimo quinto periodo de sesiones, suplemento no. 17, A/35/17",,421214,422179,419623,,,,,,,,,,United Nations Commission on International Trade Law,,,,y
E/NL.1982/1,,1982-01-01 00:00:00,1981-01-01 00:00:00,,Peru : Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances,,Perú : Leyes y reglamentos promulgados para dar efecto a las disposiciones de tratados internacionales sobre los estupefacientes y sustancias sicotrópicas,,422174,,419423,,,,,,,,,,,,,,y
E/NL.1987/80,,1987-01-01 00:00:00,1985-01-01 00:00:00,,Venezuela : Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances,,Venezuela : Leyes y reglamentos promulgados para dar efecto a las disposiciones de tratados internacionales sobre los estupefacientes y sustancias sicotrópicas,,417934,,422173,,,,,,,,,,,,,,y
E/INCB/1993/2,E/F/S.94.XI.3,1993-01-01 00:00:00,1992-01-01 00:00:00||1994-01-01 00:00:00,,"Narcotic drugs : estimated world requirements for 1994, statistics for 1992",,,,422172,,,,ISBN 92-1-048057-0,,,,ISSN 1013-3453,,,,International Narcotics Control Board,,,,y
E/NL.1977/82-84,,1977-01-01 00:00:00,1965-01-01 00:00:00||1975-01-01 00:00:00||1974-01-01 00:00:00,,South Africa : Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances,,,,422171,,,,,,,,,,,,,,,,y
E/NL.1998/26,,1998-01-01 00:00:00,1951-01-01 00:00:00||1996-01-01 00:00:00,,,Suisse : Lois et règlements promulgués pour donner effet aux dispositions des traités internationaux sur les stupéfiants et les substances psychotropes,,,,422167,,,,,,,,,,,,,,,y
A/37/17,,1982-01-01 00:00:00,1982-01-01 00:00:00,,"Report of the United Nations Commission on international trade law on the work of its fifteenth session, 26 juiy-6 august 1982 : General Assembly, official records, thirty-seventh session, supplement no.17, A/37/17","Rapport de la Commission des Nations Unies pour le droit commercial international sur les travaux de sa quinzième session, 26 juillet-6 août 1982 : Assemblée générale, documents officiels, trente-septième session, supplément n° 17, a/37/17","Informe de la Comisión de las Naciones Unidas para el derecho mercantil internacional sobre la labor realizada en su 15° período de sesiones, 26 de julio a 6 de agosto de 1982 : Asamblea General, documentos oficiales, trigesimo septimo periodo de sesiones, suplemento no. 17, A/37/17",,420351,419688,422163,,,,,,,,,,United Nations Commission on International Trade Law,,,,y
A/CONF.80/16/Add.1,F.79.V.9,1979-01-01 00:00:00,1978-01-01 00:00:00,,"United Nations Conference on Succession of States in Respect of Treaties, resumed session, Vienna, 31 July-23 August 1978 : official records, volume II - summary records of the plenary meetings and of the meetings of the Committee of the Whole","Conférence des Nations Unies sur la succession d'états en matière de traités, reprise de la session, Vienne, 31 juillet-23 août 1978 : documents officiels, volume II - comptes rendus analytiques des séances plénières et des séances de la Commission plénière","Conferencia de las Naciones Unidas sobre la sucesion de estados en materia de tratados, continuación del período de sesiones, Viena, 31 de julio a 23 de agosto de 1978 : documentos oficiales, volumen II - actas resumidas de las sesiones plenarias y de las sesiones de la Comisión plenaria",,419741,422162,420204,,,,,,,,,,"United Nations Conference on Succession of States in Respect of Treaties (1977-1978 : Vienna, Austria)",,,,y
A/55/46,,2000-01-01 00:00:00,2000-01-01 00:00:00,,"Report of the United Nations Scientific Committee on the Effects of Atomic Radiation : General Assembly, official records, fifty-fifth session, supplement no. 46, A/55/46","Rapport du Comité scientifique des Nations Unies pour l’étude des effets des rayonnements ionisants : Assemblée générale, documents officiels, cinquante-cinquième session, supplément n 46, A/55/46","Informe del Comité científico de las Naciones Unidas para el estudio de los efectos de las radiaciones atómicas : Asamblea General, documentos oficiales, quincuagésimo quinto período de sesiones, suplemento nº 46, A/55/46",,418833,422159,418974,,,,,,,,,,United Nations Scientific Committee on the Effects of Atomic Radiation,,,,y
E/1985/23||E/CN.7/1985/22,,1985-01-01 00:00:00,1985-01-01 00:00:00,,,"Commission des stupéfiants, rapport sur la trente et unième session, 11-20 février 1985 : Conseil économique et social, documents officiels, 1985, supplément n° 3",,,,422157,,,,,,,,,,,,,,,y
E/INCB/1993/2/Supp.4,,1994-01-01 00:00:00,1994-01-01 00:00:00||1992-01-01 00:00:00,,"Supplement no. 04 to narcotic drugs : estimated world requirements for 1994, statistics for 1992, estimates updated as of 30 April 1994",,,,422153,,,,,,,,ISSN 1013-8250,,,,International Narcotics Control Board,,,,y
E/NL.1980/131-132,,1980-01-01 00:00:00,1979-01-01 00:00:00,,Hong Kong : Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances and psychotropic substances,,,,422152,,,,,,,,,,,,,,,,y
E/NL.1991/37-38,,1991-01-01 00:00:00,1990-01-01 00:00:00,,Colombia : Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances,,Colombia : Leyes y reglamentos promulgados para dar efecto a las disposiciones de tratados internacionales sobre los estupefacientes y sustancias sicotrópicas,,419915,,422150,,,,,,,,,,,,,,y
E/NL.1983/42-45,,1983-01-01 00:00:00,1983-01-01 00:00:00,,,Argentine : Lois et règlements promulgués pour donner effet aux dispositions des traités internationaux sur les stupéfiants et les substances psychotropes,,,,422149,,,,,,,,,,,,,,,y
E/INCB/1991/1,F.91.XI.4,1991-01-01 00:00:00,1991-01-01 00:00:00,,Report of the International Narcotics Control Board for 1991,Rapport de l'Organe international de contrôle des stupéfiants pour 1991,Informe de la Junta Internacional de Fiscalización de Estupefacientes correspondiente a 1991,,418123,422145,421013,,,,,,,,,,International Narcotics Control Board,,,,y
E/NL.1994/45,,1994-01-01 00:00:00,1993-01-01 00:00:00,,Colombia : Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances,,Colombia : Leyes y reglamentos promulgados para dar efecto a las disposiciones de tratados internacionales sobre los estupefacientes y sustancias sicotrópicas,,422143,,421356,,,,,,,,,,,,,,y
A/AC.105/580,,1994-01-01 00:00:00,1994-01-01 00:00:00,,"Report on the Fourth United Nations/European Space Agency Workshop on Basic Space Science, hosted by the government of Egypt, Cairo, Egypt, 27 June-1 July 1994","Rapport de la quatrième reunion de travail Organisation des Nations Unies/ Agence spatiale europeenne sur les sciences spatiales fondamentales, accueillie par le gouvernement Égyptien, Le Caire, Égypte, 27 juin-ler juillet 1994","Informe sobre el cuarto curso practico de las Naciones Unidas y la Agencia Espacial Europea sobre ciencia espacial básica, celebrado bajo los auspicios del gobierno de Egipto, El Cairo, Egipto, 27 de junio a 1º de julio de 1994",,421357,422142,419318,,,,,,,,,,Committee on the Peaceful Uses of Outer Space,,,,y
